index,DATE,TEAM,OPPONENT,TIME IN,TIME OUT,TOTAL_TIME,SCORE IN,SCORE OUT,+/-,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,POSS,FGM,FGA,2ptFGM,2ptFGA,3ptFGM,3ptFGA,FTM,FTA,AST,TO,OREB,DREB,STL,BLK,FOULS,Opp_POSS.,Opp_FGM,Opp_FGA,Opp_2ptFGM,Opp_2ptFGA,Opp_3ptFGM,Opp_3ptFGA,Opp_FTM,Opp_FTA,Opp_AST,Opp_TO,Opp_OREB,Opp_DREB,Opp_STL,Opp_BLK,Opp_FOULS
3,11/06/18,DAVIDSON,CLEVELAND STATE,13:19,12:43,36,13-11,13-11,0,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,1.0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
25,11/06/18,DAVIDSON,CLEVELAND STATE,01:19,00:00,79,83-57,83-63,-6,COLLINS.CARTER,CZERAPOWICZ.DAVID,FREUNDLICH.CAL,JONES.BATES,WYNTER.MALCOLM,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,2,2,0,0,2,2,0,0,2,0,0,1,0,0,0
3,11/09/18,DAVIDSON,DARTMOUTH,09:28,06:51,157,20-15,24-22,-3,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,4.0,2,4,2,4,0,0,0,0,0,0,0,1,0,0,2,3.88,2,3,1,1,1,2,2,2,1,0,0,2,0,0,0
8,11/09/18,DAVIDSON,DARTMOUTH,03:14,00:54,140,30-37,32-40,-1,COLLINS.CARTER,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,2.0,1,2,1,2,0,0,0,0,1,0,0,1,0,1,0,2.0,1,3,0,1,1,2,0,0,1,0,1,1,0,0,1
9,11/09/18,DAVIDSON,DARTMOUTH,00:54,00:06,48,32-40,32-40,0,BRAJKOVIC.LUKA,COLLINS.CARTER,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,PRITCHETT.KISHAWN,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
4,11/15/18,DAVIDSON,WICHITA STATE,11:56,09:18,158,12-12,12-20,-8,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GRADY.KELLAN,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,4.0,0,4,0,0,0,4,0,0,0,0,0,2,0,0,1,4.88,3,6,2,4,1,2,1,2,3,0,2,4,0,0,0
3,11/16/18,DAVIDSON,PURDUE,12:50,11:19,91,11-13,11-16,-3,COLLINS.CARTER,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GRADY.KELLAN,KOVACEVIC.DUSAN,2.0,0,3,0,1,0,2,0,0,0,0,1,1,0,0,0,3.0,1,2,0,0,1,2,0,0,0,1,0,2,0,0,1
8,11/16/18,DAVIDSON,PURDUE,04:33,03:16,77,23-28,23-28,0,BRAJKOVIC.LUKA,COLLINS.CARTER,CZERAPOWICZ.DAVID,GRADY.KELLAN,PRITCHETT.KISHAWN,2.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,3.0,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0
9,11/16/18,DAVIDSON,PURDUE,03:16,00:18,178,23-28,26-31,0,BRAJKOVIC.LUKA,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,5.0,1,3,0,0,1,3,0,0,1,2,0,3,0,0,1,4.0,1,4,0,2,1,2,0,0,1,0,0,2,0,0,0
10,11/16/18,DAVIDSON,PURDUE,00:18,00:00,18,26-31,26-33,-2,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,2,1,2,0,0,0,0,0,0,1,0,0,0,0
22,11/16/18,DAVIDSON,PURDUE,08:45,07:22,83,40-58,43-60,1,BRAJKOVIC.LUKA,COLLINS.CARTER,CZERAPOWICZ.DAVID,GRADY.KELLAN,PRITCHETT.KISHAWN,1.0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1.88,0,5,0,1,0,4,2,2,0,0,4,0,0,0,0
26,11/16/18,DAVIDSON,PURDUE,00:54,00:00,54,55-78,58-79,2,BOACHIE-YIADOM.NEL,CZERAPOWICZ.DAVID,FREUNDLICH.CAL,JONES.BATES,WYNTER.MALCOLM,2.0,1,2,0,0,1,2,0,0,0,0,0,1,0,0,1,0.88,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
3,11/18/18,DAVIDSON,NORTHEASTERN,12:32,07:14,318,7-9,20-18,4,COLLINS.CARTER,CZERAPOWICZ.DAVID,GRADY.KELLAN,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,8.0,5,7,2,3,3,4,0,0,3,2,1,2,1,0,2,9.0,4,8,3,4,1,4,0,0,2,2,1,1,2,0,0
4,11/18/18,DAVIDSON,NORTHEASTERN,07:14,03:22,232,20-18,24-21,1,BRAJKOVIC.LUKA,COLLINS.CARTER,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GRADY.KELLAN,5.88,1,7,0,1,1,6,1,2,1,0,2,3,0,1,0,5.0,1,5,0,1,1,4,0,0,1,1,1,4,0,0,3
5,11/18/18,DAVIDSON,NORTHEASTERN,03:22,02:01,81,24-21,26-26,-3,CZERAPOWICZ.DAVID,EKWU.NATHAN,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,2.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0,2,2,1,1,1,1,0,0,2,0,0,0,0,0,0
